Entity,Year,Yield/hectare
Indonesia,1961,136.64
Indonesia,1962,136.14801
Indonesia,1963,135.75
Indonesia,1964,130.46901
Indonesia,1965,130.5209
Indonesia,1966,142.9626
Indonesia,1967,136.156
Indonesia,1968,132.6093
Indonesia,1969,148.4413
Indonesia,1970,140.056
Indonesia,1971,158.12541
Indonesia,1972,155.7433
Indonesia,1973,126.8749
Indonesia,1974,149.0178
Indonesia,1975,124.563805
Indonesia,1976,120.98691
Indonesia,1977,116.13021
Indonesia,1978,126.366005
Indonesia,1979,106.60901
Indonesia,1980,90.652405
Indonesia,1981,115.49361
Indonesia,1982,85.467
Indonesia,1983,95.786606
Indonesia,1984,99.2003
Indonesia,1985,82.7723
Indonesia,1986,81.2233
Indonesia,1987,84.29271
Indonesia,1988,82.25111
Indonesia,1989,78.877205
Indonesia,1990,81.1004
Indonesia,1991,77.076706
Indonesia,1992,81.10651
Indonesia,1993,79.0166
Indonesia,1994,78.51271
Indonesia,1995,70.38711
Indonesia,1996,68.5153
Indonesia,1997,73.4296
Indonesia,1998,68.9541
Indonesia,1999,60.086903
Indonesia,2000,65.307304
Indonesia,2001,65.2319
Indonesia,2002,72.7925
Indonesia,2003,72.9764
Indonesia,2004,77.5828
Indonesia,2005,76.6849
Indonesia,2006,73.655304
Indonesia,2007,58.9062
Indonesia,2008,58.6477
Indonesia,2009,59.804302
Indonesia,2010,60.925304
Indonesia,2011,55.1724
Indonesia,2012,64.8356
Indonesia,2013,60.304802
Indonesia,2014,57.333103
Indonesia,2015,59.234
Indonesia,2016,62.590805
Indonesia,2017,66.6435
Indonesia,2018,70.971
Indonesia,2019,70.4508
Indonesia,2020,69.92911
Indonesia,2021,71.71361
Indonesia,2022,73.46821
Indonesia,2023,68.7434